ID,Domain,User Input,Bot Response,Context ID,Context,Intent
1488,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",1487,How can I improve my credit score?,home_loan_documents
2712,E-commerce,Where is my package?,Let me check the tracking information for you.,2711,I want to return my order.,track_order
1943,Finance,What is the current interest rate?,The current interest rate is 3.5% per annum.,1942,How do I open a savings account?,ask_interest_rate
2063,E-commerce,Can I cancel my order?,"If it hasn’t shipped yet, yes you can cancel it.",2062,Where is my package?,cancel_order
1082,E-commerce,Where is my package?,Let me check the tracking information for you.,1081,I want to return my order.,track_order
254,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",253,What is the current interest rate?,apply_loan
238,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",237,How can I improve my credit score?,home_loan_documents
2841,E-commerce,I want to return my order.,"Sure, may I have your order number?",2840,Can I get a gift receipt?,initiate_return
2095,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",2094,What is the refund policy?,ask_shipping_info
2422,Finance,How do I open a savings account?,You can open a savings account online or at any of our branches.,2421,What is a mutual fund?,open_account
2916,E-commerce,The product I received is damaged.,We're sorry to hear that. We'll send a replacement.,2915,Do you offer international shipping?,report_damaged_item
2850,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",2849,I forgot my account password.,request_gift_receipt
658,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",657,How do I change my delivery address?,ask_payment_options
2458,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",2457,How do I change my delivery address?,ask_payment_options
402,E-commerce,Where is my package?,Let me check the tracking information for you.,401,I want to return my order.,track_order
1738,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",1737,How can I improve my credit score?,home_loan_documents
2699,E-commerce,I forgot my account password.,Click on 'Forgot Password' to reset it.,2698,What payment methods do you accept?,reset_password
2368,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",2367,How do I change my delivery address?,ask_payment_options
681,E-commerce,I want to return my order.,"Sure, may I have your order number?",680,Can I get a gift receipt?,initiate_return
1302,E-commerce,Where is my package?,Let me check the tracking information for you.,1301,I want to return my order.,track_order
830,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",829,I forgot my account password.,request_gift_receipt
429,E-commerce,I forgot my account password.,Click on 'Forgot Password' to reset it.,428,What payment methods do you accept?,reset_password
2290,Finance,How do I get a bank statement?,You can download it from your online banking portal.,2289,Can I invest in stocks through your bank?,get_bank_statement
1159,E-commerce,I forgot my account password.,Click on 'Forgot Password' to reset it.,1158,What payment methods do you accept?,reset_password
969,E-commerce,I forgot my account password.,Click on 'Forgot Password' to reset it.,968,What payment methods do you accept?,reset_password
613,Finance,What is the current interest rate?,The current interest rate is 3.5% per annum.,612,How do I open a savings account?,ask_interest_rate
721,E-commerce,I want to return my order.,"Sure, may I have your order number?",720,Can I get a gift receipt?,initiate_return
1020,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",1019,I forgot my account password.,request_gift_receipt
636,Finance,What is a credit score?,A credit score is a number that represents your creditworthiness.,635,Is there a fee for early loan repayment?,ask_credit_score
2391,Finance,What is a mutual fund?,A mutual fund pools money from many investors to purchase securities.,2390,How do I get a bank statement?,ask_investment_info
439,E-commerce,I forgot my account password.,Click on 'Forgot Password' to reset it.,438,What payment methods do you accept?,reset_password
2167,E-commerce,How do I change my delivery address?,You can change it from your account settings.,2166,The product I received is damaged.,update_address
1884,E-commerce,What is the refund policy?,You can get a full refund within 30 days of purchase.,1883,Can I cancel my order?,ask_refund_policy
2001,E-commerce,I want to return my order.,"Sure, may I have your order number?",2000,Can I get a gift receipt?,initiate_return
1211,E-commerce,I want to return my order.,"Sure, may I have your order number?",1210,Can I get a gift receipt?,initiate_return
1157,E-commerce,How do I change my delivery address?,You can change it from your account settings.,1156,The product I received is damaged.,update_address
2113,Finance,What is the current interest rate?,The current interest rate is 3.5% per annum.,2112,How do I open a savings account?,ask_interest_rate
7,E-commerce,How do I change my delivery address?,You can change it from your account settings.,6,The product I received is damaged.,update_address
331,E-commerce,I want to return my order.,"Sure, may I have your order number?",330,Can I get a gift receipt?,initiate_return
2338,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",2337,How do I change my delivery address?,ask_payment_options
363,Finance,What is the current interest rate?,The current interest rate is 3.5% per annum.,362,How do I open a savings account?,ask_interest_rate
48,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",47,How can I improve my credit score?,home_loan_documents
1084,E-commerce,What is the refund policy?,You can get a full refund within 30 days of purchase.,1083,Can I cancel my order?,ask_refund_policy
145,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",144,What is the refund policy?,ask_shipping_info
545,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",544,What is the refund policy?,ask_shipping_info
1207,Finance,How can I improve my credit score?,You can improve your credit score by paying bills on time.,1206,What is a credit score?,ask_credit_score
1153,Finance,What is the current interest rate?,The current interest rate is 3.5% per annum.,1152,How do I open a savings account?,ask_interest_rate
984,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",983,What is the current interest rate?,apply_loan
2414,E-commerce,What is the refund policy?,You can get a full refund within 30 days of purchase.,2413,Can I cancel my order?,ask_refund_policy
2108,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",2107,How can I improve my credit score?,home_loan_documents
1474,E-commerce,What is the refund policy?,You can get a full refund within 30 days of purchase.,1473,Can I cancel my order?,ask_refund_policy
1758,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",1757,How can I improve my credit score?,home_loan_documents
2787,Finance,How can I improve my credit score?,You can improve your credit score by paying bills on time.,2786,What is a credit score?,ask_credit_score
2014,E-commerce,What is the refund policy?,You can get a full refund within 30 days of purchase.,2013,Can I cancel my order?,ask_refund_policy
858,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",857,How can I improve my credit score?,home_loan_documents
1348,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",1347,How can I improve my credit score?,home_loan_documents
200,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",199,I forgot my account password.,request_gift_receipt
823,E-commerce,Can I cancel my order?,"If it hasn’t shipped yet, yes you can cancel it.",822,Where is my package?,cancel_order
2521,E-commerce,I want to return my order.,"Sure, may I have your order number?",2520,Can I get a gift receipt?,initiate_return
1860,Finance,How do I get a bank statement?,You can download it from your online banking portal.,1859,Can I invest in stocks through your bank?,get_bank_statement
1998,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",1997,How do I change my delivery address?,ask_payment_options
2992,Finance,How do I open a savings account?,You can open a savings account online or at any of our branches.,2991,What is a mutual fund?,open_account
830,Finance,How do I get a bank statement?,You can download it from your online banking portal.,829,Can I invest in stocks through your bank?,get_bank_statement
1805,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",1804,Can I apply for a personal loan?,loan_prepayment_fee
392,Finance,How do I open a savings account?,You can open a savings account online or at any of our branches.,391,What is a mutual fund?,open_account
999,E-commerce,I forgot my account password.,Click on 'Forgot Password' to reset it.,998,What payment methods do you accept?,reset_password
1163,E-commerce,Can I cancel my order?,"If it hasn’t shipped yet, yes you can cancel it.",1162,Where is my package?,cancel_order
2706,Finance,What is a credit score?,A credit score is a number that represents your creditworthiness.,2705,Is there a fee for early loan repayment?,ask_credit_score
2142,E-commerce,Where is my package?,Let me check the tracking information for you.,2141,I want to return my order.,track_order
2643,E-commerce,Can I cancel my order?,"If it hasn’t shipped yet, yes you can cancel it.",2642,Where is my package?,cancel_order
2988,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",2987,How can I improve my credit score?,home_loan_documents
2353,Finance,What is the current interest rate?,The current interest rate is 3.5% per annum.,2352,How do I open a savings account?,ask_interest_rate
2605,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",2604,Can I apply for a personal loan?,loan_prepayment_fee
1245,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",1244,Can I apply for a personal loan?,loan_prepayment_fee
2730,Finance,How do I get a bank statement?,You can download it from your online banking portal.,2729,Can I invest in stocks through your bank?,get_bank_statement
2694,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",2693,What is the current interest rate?,apply_loan
875,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",874,What is the refund policy?,ask_shipping_info
237,E-commerce,How do I change my delivery address?,You can change it from your account settings.,236,The product I received is damaged.,update_address
2464,E-commerce,What is the refund policy?,You can get a full refund within 30 days of purchase.,2463,Can I cancel my order?,ask_refund_policy
1407,E-commerce,How do I change my delivery address?,You can change it from your account settings.,1406,The product I received is damaged.,update_address
955,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",954,What is the refund policy?,ask_shipping_info
2287,E-commerce,How do I change my delivery address?,You can change it from your account settings.,2286,The product I received is damaged.,update_address
461,E-commerce,I want to return my order.,"Sure, may I have your order number?",460,Can I get a gift receipt?,initiate_return
4,E-commerce,What is the refund policy?,You can get a full refund within 30 days of purchase.,3,Can I cancel my order?,ask_refund_policy
2393,Finance,What is the current interest rate?,The current interest rate is 3.5% per annum.,2392,How do I open a savings account?,ask_interest_rate
671,E-commerce,I want to return my order.,"Sure, may I have your order number?",670,Can I get a gift receipt?,initiate_return
2635,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",2634,Can I apply for a personal loan?,loan_prepayment_fee
526,Finance,What is a credit score?,A credit score is a number that represents your creditworthiness.,525,Is there a fee for early loan repayment?,ask_credit_score
2562,Finance,How do I open a savings account?,You can open a savings account online or at any of our branches.,2561,What is a mutual fund?,open_account
567,E-commerce,How do I change my delivery address?,You can change it from your account settings.,566,The product I received is damaged.,update_address
446,Finance,What is a credit score?,A credit score is a number that represents your creditworthiness.,445,Is there a fee for early loan repayment?,ask_credit_score
561,E-commerce,I want to return my order.,"Sure, may I have your order number?",560,Can I get a gift receipt?,initiate_return
2190,Finance,How do I get a bank statement?,You can download it from your online banking portal.,2189,Can I invest in stocks through your bank?,get_bank_statement
2689,Finance,Can I invest in stocks through your bank?,"Yes, we offer stock investment services.",2688,What documents are needed for a home loan?,stock_investment
2568,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",2567,How do I change my delivery address?,ask_payment_options
367,Finance,How can I improve my credit score?,You can improve your credit score by paying bills on time.,366,What is a credit score?,ask_credit_score
389,E-commerce,I forgot my account password.,Click on 'Forgot Password' to reset it.,388,What payment methods do you accept?,reset_password
1145,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",1144,What is the refund policy?,ask_shipping_info
1109,Finance,Can I invest in stocks through your bank?,"Yes, we offer stock investment services.",1108,What documents are needed for a home loan?,stock_investment
180,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",179,I forgot my account password.,request_gift_receipt
1267,Finance,How can I improve my credit score?,You can improve your credit score by paying bills on time.,1266,What is a credit score?,ask_credit_score
910,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",909,I forgot my account password.,request_gift_receipt
298,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",297,How can I improve my credit score?,home_loan_documents
1898,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",1897,How can I improve my credit score?,home_loan_documents
321,E-commerce,I want to return my order.,"Sure, may I have your order number?",320,Can I get a gift receipt?,initiate_return
2839,E-commerce,I forgot my account password.,Click on 'Forgot Password' to reset it.,2838,What payment methods do you accept?,reset_password
444,E-commerce,What is the refund policy?,You can get a full refund within 30 days of purchase.,443,Can I cancel my order?,ask_refund_policy
1230,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",1229,I forgot my account password.,request_gift_receipt
2321,E-commerce,I want to return my order.,"Sure, may I have your order number?",2320,Can I get a gift receipt?,initiate_return
1398,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",1397,How can I improve my credit score?,home_loan_documents
2899,Finance,Can I invest in stocks through your bank?,"Yes, we offer stock investment services.",2898,What documents are needed for a home loan?,stock_investment
148,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",147,How can I improve my credit score?,home_loan_documents
2530,Finance,How do I get a bank statement?,You can download it from your online banking portal.,2529,Can I invest in stocks through your bank?,get_bank_statement
1683,E-commerce,Can I cancel my order?,"If it hasn’t shipped yet, yes you can cancel it.",1682,Where is my package?,cancel_order
2948,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",2947,How do I change my delivery address?,ask_payment_options
1278,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",1277,How can I improve my credit score?,home_loan_documents
21,E-commerce,I want to return my order.,"Sure, may I have your order number?",20,Can I get a gift receipt?,initiate_return
1414,E-commerce,What is the refund policy?,You can get a full refund within 30 days of purchase.,1413,Can I cancel my order?,ask_refund_policy
2,Finance,How do I open a savings account?,You can open a savings account online or at any of our branches.,1,What is a mutual fund?,open_account
2723,E-commerce,Can I cancel my order?,"If it hasn’t shipped yet, yes you can cancel it.",2722,Where is my package?,cancel_order
2012,Finance,How do I open a savings account?,You can open a savings account online or at any of our branches.,2011,What is a mutual fund?,open_account
2627,E-commerce,How do I change my delivery address?,You can change it from your account settings.,2626,The product I received is damaged.,update_address
2942,E-commerce,Where is my package?,Let me check the tracking information for you.,2941,I want to return my order.,track_order
996,E-commerce,The product I received is damaged.,We're sorry to hear that. We'll send a replacement.,995,Do you offer international shipping?,report_damaged_item
2544,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",2543,What is the current interest rate?,apply_loan
1293,Finance,What is the current interest rate?,The current interest rate is 3.5% per annum.,1292,How do I open a savings account?,ask_interest_rate
28,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",27,How can I improve my credit score?,home_loan_documents
2220,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",2219,I forgot my account password.,request_gift_receipt
512,E-commerce,Where is my package?,Let me check the tracking information for you.,511,I want to return my order.,track_order
1900,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",1899,I forgot my account password.,request_gift_receipt
1049,Finance,Can I invest in stocks through your bank?,"Yes, we offer stock investment services.",1048,What documents are needed for a home loan?,stock_investment
2134,E-commerce,What is the refund policy?,You can get a full refund within 30 days of purchase.,2133,Can I cancel my order?,ask_refund_policy
2099,E-commerce,I forgot my account password.,Click on 'Forgot Password' to reset it.,2098,What payment methods do you accept?,reset_password
1273,E-commerce,Can I cancel my order?,"If it hasn’t shipped yet, yes you can cancel it.",1272,Where is my package?,cancel_order
465,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",464,Can I apply for a personal loan?,loan_prepayment_fee
1468,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",1467,How do I change my delivery address?,ask_payment_options
2150,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",2149,I forgot my account password.,request_gift_receipt
1071,E-commerce,I want to return my order.,"Sure, may I have your order number?",1070,Can I get a gift receipt?,initiate_return
2079,Finance,Can I invest in stocks through your bank?,"Yes, we offer stock investment services.",2078,What documents are needed for a home loan?,stock_investment
205,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",204,What is the refund policy?,ask_shipping_info
959,Finance,Can I invest in stocks through your bank?,"Yes, we offer stock investment services.",958,What documents are needed for a home loan?,stock_investment
662,Finance,How do I open a savings account?,You can open a savings account online or at any of our branches.,661,What is a mutual fund?,open_account
2435,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",2434,Can I apply for a personal loan?,loan_prepayment_fee
624,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",623,What is the current interest rate?,apply_loan
2377,Finance,How can I improve my credit score?,You can improve your credit score by paying bills on time.,2376,What is a credit score?,ask_credit_score
1954,E-commerce,What is the refund policy?,You can get a full refund within 30 days of purchase.,1953,Can I cancel my order?,ask_refund_policy
311,E-commerce,I want to return my order.,"Sure, may I have your order number?",310,Can I get a gift receipt?,initiate_return
2874,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",2873,What is the current interest rate?,apply_loan
1902,Finance,How do I open a savings account?,You can open a savings account online or at any of our branches.,1901,What is a mutual fund?,open_account
347,Finance,How can I improve my credit score?,You can improve your credit score by paying bills on time.,346,What is a credit score?,ask_credit_score
2627,Finance,How can I improve my credit score?,You can improve your credit score by paying bills on time.,2626,What is a credit score?,ask_credit_score
196,E-commerce,The product I received is damaged.,We're sorry to hear that. We'll send a replacement.,195,Do you offer international shipping?,report_damaged_item
1025,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",1024,Can I apply for a personal loan?,loan_prepayment_fee
216,Finance,What is a credit score?,A credit score is a number that represents your creditworthiness.,215,Is there a fee for early loan repayment?,ask_credit_score
2973,E-commerce,Can I cancel my order?,"If it hasn’t shipped yet, yes you can cancel it.",2972,Where is my package?,cancel_order
1975,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",1974,Can I apply for a personal loan?,loan_prepayment_fee
522,Finance,How do I open a savings account?,You can open a savings account online or at any of our branches.,521,What is a mutual fund?,open_account
121,E-commerce,I want to return my order.,"Sure, may I have your order number?",120,Can I get a gift receipt?,initiate_return
2481,Finance,What is a mutual fund?,A mutual fund pools money from many investors to purchase securities.,2480,How do I get a bank statement?,ask_investment_info
235,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",234,What is the refund policy?,ask_shipping_info
2187,Finance,How can I improve my credit score?,You can improve your credit score by paying bills on time.,2186,What is a credit score?,ask_credit_score
523,Finance,What is the current interest rate?,The current interest rate is 3.5% per annum.,522,How do I open a savings account?,ask_interest_rate
1545,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",1544,What is the refund policy?,ask_shipping_info
550,Finance,How do I get a bank statement?,You can download it from your online banking portal.,549,Can I invest in stocks through your bank?,get_bank_statement
746,E-commerce,The product I received is damaged.,We're sorry to hear that. We'll send a replacement.,745,Do you offer international shipping?,report_damaged_item
1658,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",1657,How can I improve my credit score?,home_loan_documents
970,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",969,I forgot my account password.,request_gift_receipt
762,Finance,How do I open a savings account?,You can open a savings account online or at any of our branches.,761,What is a mutual fund?,open_account
528,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",527,How do I change my delivery address?,ask_payment_options
1873,E-commerce,Can I cancel my order?,"If it hasn’t shipped yet, yes you can cancel it.",1872,Where is my package?,cancel_order
1891,E-commerce,I want to return my order.,"Sure, may I have your order number?",1890,Can I get a gift receipt?,initiate_return
985,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",984,What is the refund policy?,ask_shipping_info
2528,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",2527,How can I improve my credit score?,home_loan_documents
177,E-commerce,How do I change my delivery address?,You can change it from your account settings.,176,The product I received is damaged.,update_address
1299,Finance,Can I invest in stocks through your bank?,"Yes, we offer stock investment services.",1298,What documents are needed for a home loan?,stock_investment
2215,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",2214,Can I apply for a personal loan?,loan_prepayment_fee
374,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",373,What is the current interest rate?,apply_loan
140,Finance,How do I get a bank statement?,You can download it from your online banking portal.,139,Can I invest in stocks through your bank?,get_bank_statement
328,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",327,How do I change my delivery address?,ask_payment_options
1451,E-commerce,I want to return my order.,"Sure, may I have your order number?",1450,Can I get a gift receipt?,initiate_return
39,Finance,Can I invest in stocks through your bank?,"Yes, we offer stock investment services.",38,What documents are needed for a home loan?,stock_investment
2882,E-commerce,Where is my package?,Let me check the tracking information for you.,2881,I want to return my order.,track_order
17,Finance,How can I improve my credit score?,You can improve your credit score by paying bills on time.,16,What is a credit score?,ask_credit_score
1248,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",1247,How can I improve my credit score?,home_loan_documents
2419,Finance,Can I invest in stocks through your bank?,"Yes, we offer stock investment services.",2418,What documents are needed for a home loan?,stock_investment
443,Finance,What is the current interest rate?,The current interest rate is 3.5% per annum.,442,How do I open a savings account?,ask_interest_rate
2467,E-commerce,How do I change my delivery address?,You can change it from your account settings.,2466,The product I received is damaged.,update_address
396,E-commerce,The product I received is damaged.,We're sorry to hear that. We'll send a replacement.,395,Do you offer international shipping?,report_damaged_item
2121,E-commerce,I want to return my order.,"Sure, may I have your order number?",2120,Can I get a gift receipt?,initiate_return
2203,E-commerce,Can I cancel my order?,"If it hasn’t shipped yet, yes you can cancel it.",2202,Where is my package?,cancel_order
121,Finance,What is a mutual fund?,A mutual fund pools money from many investors to purchase securities.,120,How do I get a bank statement?,ask_investment_info
2575,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",2574,Can I apply for a personal loan?,loan_prepayment_fee
2057,E-commerce,How do I change my delivery address?,You can change it from your account settings.,2056,The product I received is damaged.,update_address
632,Finance,How do I open a savings account?,You can open a savings account online or at any of our branches.,631,What is a mutual fund?,open_account
1925,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",1924,Can I apply for a personal loan?,loan_prepayment_fee
2961,E-commerce,I want to return my order.,"Sure, may I have your order number?",2960,Can I get a gift receipt?,initiate_return
2865,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",2864,What is the refund policy?,ask_shipping_info
1099,Finance,Can I invest in stocks through your bank?,"Yes, we offer stock investment services.",1098,What documents are needed for a home loan?,stock_investment
938,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",937,How can I improve my credit score?,home_loan_documents
2613,Finance,What is the current interest rate?,The current interest rate is 3.5% per annum.,2612,How do I open a savings account?,ask_interest_rate
1233,Finance,What is the current interest rate?,The current interest rate is 3.5% per annum.,1232,How do I open a savings account?,ask_interest_rate
1164,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",1163,What is the current interest rate?,apply_loan
865,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",864,What is the refund policy?,ask_shipping_info
2305,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",2304,Can I apply for a personal loan?,loan_prepayment_fee
1578,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",1577,How do I change my delivery address?,ask_payment_options
580,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",579,I forgot my account password.,request_gift_receipt
1245,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",1244,What is the refund policy?,ask_shipping_info
2854,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",2853,What is the current interest rate?,apply_loan
2497,Finance,How can I improve my credit score?,You can improve your credit score by paying bills on time.,2496,What is a credit score?,ask_credit_score
1385,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",1384,What is the refund policy?,ask_shipping_info
2595,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",2594,What is the refund policy?,ask_shipping_info
2110,Finance,How do I get a bank statement?,You can download it from your online banking portal.,2109,Can I invest in stocks through your bank?,get_bank_statement
1332,Finance,How do I open a savings account?,You can open a savings account online or at any of our branches.,1331,What is a mutual fund?,open_account
2544,E-commerce,What is the refund policy?,You can get a full refund within 30 days of purchase.,2543,Can I cancel my order?,ask_refund_policy
1673,Finance,What is the current interest rate?,The current interest rate is 3.5% per annum.,1672,How do I open a savings account?,ask_interest_rate
1074,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",1073,What is the current interest rate?,apply_loan
161,Finance,What is a mutual fund?,A mutual fund pools money from many investors to purchase securities.,160,How do I get a bank statement?,ask_investment_info
674,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",673,What is the current interest rate?,apply_loan
2411,E-commerce,I want to return my order.,"Sure, may I have your order number?",2410,Can I get a gift receipt?,initiate_return
1702,Finance,How do I open a savings account?,You can open a savings account online or at any of our branches.,1701,What is a mutual fund?,open_account
1542,E-commerce,Where is my package?,Let me check the tracking information for you.,1541,I want to return my order.,track_order
44,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",43,What is the current interest rate?,apply_loan
2339,E-commerce,I forgot my account password.,Click on 'Forgot Password' to reset it.,2338,What payment methods do you accept?,reset_password
2163,Finance,What is the current interest rate?,The current interest rate is 3.5% per annum.,2162,How do I open a savings account?,ask_interest_rate
1431,Finance,What is a mutual fund?,A mutual fund pools money from many investors to purchase securities.,1430,How do I get a bank statement?,ask_investment_info
2268,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",2267,How do I change my delivery address?,ask_payment_options
1671,Finance,What is a mutual fund?,A mutual fund pools money from many investors to purchase securities.,1670,How do I get a bank statement?,ask_investment_info
1022,Finance,How do I open a savings account?,You can open a savings account online or at any of our branches.,1021,What is a mutual fund?,open_account
1210,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",1209,I forgot my account password.,request_gift_receipt
1957,E-commerce,How do I change my delivery address?,You can change it from your account settings.,1956,The product I received is damaged.,update_address
1086,E-commerce,The product I received is damaged.,We're sorry to hear that. We'll send a replacement.,1085,Do you offer international shipping?,report_damaged_item
666,E-commerce,The product I received is damaged.,We're sorry to hear that. We'll send a replacement.,665,Do you offer international shipping?,report_damaged_item
1368,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",1367,How do I change my delivery address?,ask_payment_options
1218,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",1217,How do I change my delivery address?,ask_payment_options
566,Finance,What is a credit score?,A credit score is a number that represents your creditworthiness.,565,Is there a fee for early loan repayment?,ask_credit_score
2125,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",2124,What is the refund policy?,ask_shipping_info
1774,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",1773,What is the current interest rate?,apply_loan
2625,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",2624,Can I apply for a personal loan?,loan_prepayment_fee
1281,Finance,What is a mutual fund?,A mutual fund pools money from many investors to purchase securities.,1280,How do I get a bank statement?,ask_investment_info
416,Finance,What is a credit score?,A credit score is a number that represents your creditworthiness.,415,Is there a fee for early loan repayment?,ask_credit_score
2079,E-commerce,I forgot my account password.,Click on 'Forgot Password' to reset it.,2078,What payment methods do you accept?,reset_password
1448,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",1447,How do I change my delivery address?,ask_payment_options
2313,E-commerce,Can I cancel my order?,"If it hasn’t shipped yet, yes you can cancel it.",2312,Where is my package?,cancel_order
2965,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",2964,Can I apply for a personal loan?,loan_prepayment_fee
2444,E-commerce,What is the refund policy?,You can get a full refund within 30 days of purchase.,2443,Can I cancel my order?,ask_refund_policy
2603,E-commerce,Can I cancel my order?,"If it hasn’t shipped yet, yes you can cancel it.",2602,Where is my package?,cancel_order
1824,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",1823,What is the current interest rate?,apply_loan
2656,E-commerce,The product I received is damaged.,We're sorry to hear that. We'll send a replacement.,2655,Do you offer international shipping?,report_damaged_item
